,index,Magnitude,U,V,Direction
31,69414,1.0723078000000001,-0.9979710999999999,0.38042070000000006,-1.2066062977942495
32,69415,0.8318171,-0.7735806,0.29071662,-1.2113187730347166
33,69416,0.7642305,-0.6712669,0.35908,-1.0795976750674259
34,69417,0.6325069999999999,-0.6281386999999999,0.011104283000000001,-1.5531200930782767
35,69418,0.74584484,-0.7320270000000001,0.13672076,-1.386153575569813
36,69419,1.0412298,-0.98206186,0.33644107,-1.2407412266163726
37,69420,1.012984,-0.8556838999999999,0.53354394,-1.0132553289335542
38,69421,1.0095029,-0.7412969,0.667234,-0.8379314488669205
39,69422,0.9444389999999999,-0.5986584,0.72954196,-0.6871732527580163
40,69423,0.8222841999999999,-0.41758248,0.6942509,-0.541511730547741
41,69424,0.7948724,-0.40237156,0.6776485999999999,-0.5358305534591473
42,69425,1.1337366000000002,-0.70240945,0.88209885,-0.6724767008012437
43,69426,1.0309566,-0.6711659000000001,0.78049344,-0.7102279504289537
44,69427,1.1045266000000002,-0.59016836,0.9235213,-0.5686328559489502
45,69428,1.0101154,-0.46116605,0.8963566999999999,-0.475171850048852
46,69429,0.9745877000000001,-0.54646194,0.8042413,-0.5968176418775085
47,69430,0.8595815999999998,-0.29775906,0.80340075,-0.354928078073033
48,69431,0.7743680000000001,-0.3682851,0.67961746,-0.49660359163394874
49,69432,0.53914386,-0.37444896,0.38042998,-0.7774751779592428
50,69433,0.55945617,-0.49923533,0.24640667,-1.1123074052227115
