,Chamber Pressure [psia],O/F Ratio,Exit Pressure [psia],gamma,Exit Velocity [m/s],Thrust Coefficient
350,220.4,4.1,7.528350867604864,1.3002,1759.3818,1.4392
351,235.1,4.1,8.030468643257276,1.3002,1759.3818,1.4392
352,249.8,4.1,8.532586418909688,1.3002,1759.3818,1.4392
353,264.5,4.1,9.035012809564476,1.3002,1759.3818,1.4392
354,279.2,4.1,9.537147736976943,1.3002,1759.3818,1.4392
355,293.9,4.1,10.039282664389411,1.3002,1759.3818,1.4392
356,308.6,4.1,10.54141759180188,1.3002,1759.3818,1.4392
357,323.3,4.1,11.043552519214348,1.3002,1759.3818,1.4392
358,338.0,4.1,11.545687446626815,1.3002,1759.3818,1.4392
359,352.7,4.1,12.047822374039283,1.3002,1759.3818,1.4392
360,14.7,4.3,0.5096557223589779,1.2936,1790.9640000000002,1.4389
361,29.4,4.3,1.0193821296071564,1.2936,1791.2421000000002,1.4389
362,44.1,4.3,1.529126213592233,1.2936,1791.2421000000002,1.4389
363,58.8,4.3,2.0388349514563107,1.2936,1791.2421000000002,1.4389
364,73.5,4.3,2.5486320607510664,1.2936,1791.2421000000002,1.4389
365,88.2,4.3,3.0583584729012796,1.2936,1791.5202000000002,1.4389
366,102.9,4.3,3.5680848850514932,1.2936,1791.5202000000002,1.4389
367,117.6,4.3,4.077811297201706,1.2936,1791.5202000000002,1.4389
368,132.3,4.3,4.587696788959013,1.2936,1791.5202000000002,1.4389
369,147.0,4.3,5.097440876621125,1.2935,1791.5202000000002,1.4389
370,161.7,4.3,5.6071849642832365,1.2935,1791.5202000000002,1.4389
371,176.4,4.3,6.11692905194535,1.2935,1791.5202000000002,1.4389
372,191.0,4.3,6.623205492752618,1.2935,1791.5202000000002,1.4389
373,205.7,4.3,7.13294958041473,1.2935,1791.5202000000002,1.4389
374,220.4,4.3,7.642693668076843,1.2935,1791.5202000000002,1.4389
375,235.1,4.3,8.152720463293685,1.2935,1791.5202000000002,1.4389
